"city","scenario","age","median","5%","95%"
"bogota","sc_cycle","15-49",59.3194021111279,53.2486018047496,65.3902024175062
"bogota","sc_car","15-49",-59.6135754000844,-63.0914640929059,-56.1356867072629
"bogota","sc_bus","15-49",121.452039258112,113.239307720473,129.664770795752
"bogota","sc_cycle","50-69",179.493087851208,163.61830270599,195.367872996427
"bogota","sc_car","50-69",-206.804121903318,-216.767275007075,-196.840968799561
"bogota","sc_bus","50-69",270.943044910616,236.622940974135,305.263148847098
"combined","sc_cycle","15-49",59.3194021111279,53.2486018047496,65.3902024175062
"combined","sc_car","15-49",-59.6135754000844,-63.0914640929059,-56.1356867072629
"combined","sc_bus","15-49",121.452039258112,113.239307720473,129.664770795752
"combined","sc_cycle","50-69",179.493087851208,163.61830270599,195.367872996427
"combined","sc_car","50-69",-206.804121903318,-216.767275007075,-196.840968799561
"combined","sc_bus","50-69",270.943044910616,236.622940974135,305.263148847098
